Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
9341,Jerry Smith,Dyer,Female,34,Washington,Blue Collar,31.Jan.15,77809.59
6199,Christine Stephens,Thomson,Female,36,Florida,White Collar,31.Jan.15,31680.67
8991,Omar Nixon,Gill,Female,33,Vermont,White Collar,31.Jan.15,20504.37
6586,Steven Wilson,Cornish,Male,31,Tennessee,Other,31.Jan.15,5688.36
5694,Stanley Horn,Martin,Male,35,Idaho,Blue Collar,31.Jan.15,12848.59
6678,Steven Maldonado,Pullman,Male,59,Florida,Other,31.Jan.15,114456.23
9120,Rebecca Huffman,Terry,Male,27,Illinois,Blue Collar,01.Feb.15,51412.6
800,Ashley Wood,Black,Female,35,Oklahoma,White Collar,01.Feb.15,9695.7
4643,Nichole Williams,Morgan,Male,49,Idaho,Blue Collar,01.Feb.15,114021.21
7034,Mark Hamilton,Churchill,Female,22,Florida,Other,01.Feb.15,107728.07
903,William Barrera,Johnston,Female,53,Kentucky,Other,03.Feb.15,2893.19
3924,Brandon Harper Jr.,Berry,Female,47,Washington,Other,03.Feb.15,54589.61
6665,Seth Gilmore,Nolan,Female,32,Montana,Other,03.Feb.15,59501.63
5590,Lauren Cole,Lewis,Female,19,West Virginia,Other,08.Feb.15,14337.82
7209,Derek Campbell,Ball,Male,27,New Jersey,White Collar,12.Feb.15,23921.89
7775,Jacqueline Gordon,Nolan,Male,39,Connecticut,White Collar,12.Feb.15,39034.14
4744,Stephanie Hicks,Wilkins,Female,29,Oregon,Blue Collar,12.Feb.15,1401.43
6850,Jacob Ingram,James,Female,31,Nevada,Blue Collar,12.Feb.15,41626.25
2483,Rodney Banks,Ellison,Female,37,Mississippi,Other,12.Feb.15,47551.7
7682,Rose Bush,MacLeod,Female,32,Missouri,White Collar,12.Feb.15,24187.98
5279,Richard Johnson,Taylor,Male,24,Missouri,White Collar,12.Feb.15,4912.21
3819,Jeffrey Bradley,Gibson,Male,40,New Mexico,White Collar,12.Feb.15,58391.45
1627,Alyssa Bennett,Knox,Female,33,North Carolina,Blue Collar,12.Feb.15,58033.89
2900,Mrs. Eileen James,Morgan,Male,44,Wyoming,White Collar,12.Feb.15,35831.2
8248,Gregg Hernandez,Randall,Male,39,Maryland,Other,12.Feb.15,1879.85
3299,Kevin Rivera,White,Male,47,Utah,White Collar,12.Feb.15,23375.57
2360,Gloria King,Howard,Female,35,Rhode Island,White Collar,12.Feb.15,4586.23
5862,Eric Burnett,Bell,Female,47,Illinois,Other,12.Feb.15,20336.8
2215,Stephen Williams,Gibson,Male,47,Indiana,White Collar,12.Feb.15,22414.93
2869,Daniel Martinez,Gibson,Female,39,Ohio,White Collar,12.Feb.15,40305.24
743,Robert Duncan,Hughes,Female,50,Michigan,Other,12.Feb.15,18091.36
5250,Mitchell Edwards,Burgess,Male,43,Oklahoma,Blue Collar,12.Feb.15,20076.8
4437,Cindy Ross,Ellison,Male,47,New Hampshire,Blue Collar,12.Feb.15,5300.47
5234,Carol Booth,Piper,Male,61,Ohio,Blue Collar,12.Feb.15,7162.43
5796,Paula Brown,Sharp,Male,53,Tennessee,Blue Collar,12.Feb.15,35751.37
3347,David Russell,Parr,Male,45,Ohio,Other,12.Feb.15,15013.76
2636,Sarah Rubio,Mills,Male,49,Pennsylvania,Blue Collar,12.Feb.15,70041.44
7561,Zachary Gonzalez,Roberts,Female,51,Alaska,Other,12.Feb.15,35937.38
410,Antonio Moore,White,Female,36,Wisconsin,White Collar,12.Feb.15,41442.1
8659,Jared Flynn,Simpson,Male,45,Hawaii,Other,12.Feb.15,36696.92
7717,Michelle Miller,Dowd,Female,30,Pennsylvania,White Collar,12.Feb.15,21.03
2772,Kaitlin Wang,Hemmings,Male,44,West Virginia,Blue Collar,24.Feb.15,58237.65
2430,Julie Rios,Brown,Male,38,California,White Collar,09.Mar.15,28509.46
368,Tyler Dominguez DDS,Simpson,Female,36,Nebraska,Other,10.Mar.15,38715.45
2316,Matthew Garcia,Mathis,Female,23,Michigan,Blue Collar,15.Mar.15,7370.52
87,Yolanda Holt,Peters,Male,34,Georgia,White Collar,16.Mar.15,245.46
1016,Shannon Patel,Buckland,Female,36,Alabama,White Collar,16.Mar.15,59935.75
8571,Amy Daniel,Robertson,Male,20,Virginia,White Collar,16.Mar.15,11624.36
83,Mr. Eric Williams II,Mackay,Male,31,Maine,Blue Collar,16.Mar.15,9346.66
2445,Ricky Mcdonald,Fraser,Male,42,Florida,White Collar,16.Mar.15,43770.37
2663,Karen Gomez DVM,Buckland,Female,38,Virginia,White Collar,16.Mar.15,63642.19
5049,Samantha Lopez,McGrath,Male,39,New Hampshire,White Collar,16.Mar.15,22831.08
6945,Sean Greene,White,Male,41,Hawaii,Other,16.Mar.15,4846.57
9016,Sonya Coleman,Piper,Female,24,Florida,White Collar,16.Mar.15,71571.52
5963,Jason Brandt,Ellison,Female,24,Arizona,White Collar,16.Mar.15,42409.89
4633,Mary Smith,Henderson,Female,35,Wyoming,White Collar,16.Mar.15,4194.57
7685,Dr. Katherine Thompson,Reid,Male,35,Oklahoma,White Collar,16.Mar.15,75613.68
4408,Sharon Gomez,Forsyth,Female,26,Kentucky,White Collar,16.Mar.15,28587.08
8735,Rachel Parker,Peake,Male,23,Virginia,White Collar,16.Mar.15,14699.05
7589,Joshua Villarreal,Davies,Female,38,Wyoming,Other,16.Mar.15,44034.26
1321,Tanya Fox,Knox,Female,30,Kentucky,White Collar,16.Mar.15,55046.35
9016,Ms. Chelsea Lee MD,Slater,Male,28,Alaska,White Collar,16.Mar.15,67479.01
8879,Amy Neal,Wallace,Female,38,West Virginia,Blue Collar,16.Mar.15,61890.85
8401,Gary Martin,Johnston,Female,36,North Dakota,White Collar,16.Mar.15,1430.6
353,Lisa Mcguire,May,Male,40,Indiana,Blue Collar,16.Mar.15,5456.86
8902,Daniel Brooks,Robertson,Female,56,New Jersey,Other,16.Mar.15,13251.27
6276,Charles Chan,Lewis,Male,51,Virginia,Blue Collar,16.Mar.15,119014.87
2760,Joseph Norman,Piper,Female,44,Maryland,White Collar,16.Mar.15,18829.79
5913,Lauren Cuevas,Powell,Female,55,Rhode Island,White Collar,16.Mar.15,35939.04
3860,Dennis Jarvis,McDonald,Female,57,Oklahoma,Other,16.Mar.15,22686.0
841,Dennis Jones,Ross,Male,48,Oregon,White Collar,16.Mar.15,85108.08
2759,Kaitlyn Parker,Bond,Female,54,Colorado,Other,16.Mar.15,44973.03
5874,Timothy Bowen,Wilson,Male,36,Rhode Island,Blue Collar,16.Mar.15,12616.44
4138,Gregory Rodriguez PhD,Quinn,Male,48,Texas,Blue Collar,16.Mar.15,23910.87
8556,Patrick Turner,Forsyth,Male,63,Hawaii,Other,16.Mar.15,73461.71
308,Janet Carrillo,Jones,Male,63,Illinois,Blue Collar,16.Mar.15,26474.23
7678,Diane Robinson,Robertson,Female,25,West Virginia,Other,16.Mar.15,70799.64
2808,Amber Brown,Paterson,Male,26,Nevada,White Collar,16.Mar.15,20627.65
974,Randy Moore,Hardacre,Male,29,West Virginia,White Collar,16.Mar.15,82229.52
2940,Robin Bass,Mills,Female,18,Mississippi,Other,16.Mar.15,51171.29
2163,Beth Thompson,Oliver,Female,43,North Dakota,Blue Collar,16.Mar.15,37889.38
9362,Susan Jackson,Johnston,Female,36,Pennsylvania,Other,19.Mar.15,21806.3
5170,Anthony Love,McGrath,Female,40,Idaho,Other,25.Mar.15,12415.5
8615,Trevor Rich,McGrath,Male,52,Minnesota,Other,28.Mar.15,67682.92
8716,Laura Lopez,Lyman,Female,18,Minnesota,White Collar,31.Mar.15,33524.41
1707,Brenda Gordon,Dickens,Female,31,Wyoming,White Collar,31.Mar.15,136370.38
5470,Terry West,Slater,Male,37,Louisiana,White Collar,31.Mar.15,39159.35
2493,Reginald James,Payne,Male,25,Rhode Island,Other,31.Mar.15,3738.1
3710,Jessica Moody,Short,Male,50,New Mexico,White Collar,31.Mar.15,43234.21
2326,Noah Long,Black,Male,39,Georgia,Other,01.Apr.15,111149.47
4765,Bryan King,MacDonald,Male,27,Nebraska,White Collar,01.Apr.15,12312.49
7242,Donna Brown,Blake,Male,42,Texas,White Collar,01.Apr.15,55661.5
7566,Tina Houston,Fraser,Female,27,Virginia,White Collar,01.Apr.15,10481.48
1712,Angela Reid,Berry,Female,41,California,White Collar,01.Apr.15,4347.79
8846,Tina Ruiz,Pullman,Male,47,Mississippi,White Collar,01.Apr.15,15093.04
337,John Young,MacLeod,Female,27,Kentucky,White Collar,01.Apr.15,27738.77
5216,Randy Smith,Wright,Female,41,New Mexico,White Collar,01.Apr.15,27557.08
7144,Leah Middleton,Marshall,Male,20,West Virginia,Blue Collar,01.Apr.15,9578.65
6522,Barbara Chandler,Bower,Female,38,Idaho,White Collar,02.Apr.15,40456.97
7212,Joseph Chavez,Powell,Male,34,Connecticut,Blue Collar,02.Apr.15,44744.24
4213,Austin French,King,Male,42,New Mexico,White Collar,02.Apr.15,56652.56
7313,Devin Young,Mackenzie,Male,26,Arizona,White Collar,02.Apr.15,12994.18
7665,Jason Reynolds,Wallace,Female,43,South Dakota,White Collar,02.Apr.15,42207.46
4332,Natalie Bell,Hemmings,Male,37,Rhode Island,White Collar,02.Apr.15,10704.25
2136,Gabriella Lawson,Rampling,Female,40,Wisconsin,White Collar,02.Apr.15,57140.07
1623,Antonio Bray,Harris,Male,57,Vermont,Blue Collar,02.Apr.15,40510.36
6437,Michael Allen,Wright,Female,45,West Virginia,White Collar,03.Apr.15,36584.21
3156,Jeffrey Carroll,Russell,Male,23,Delaware,White Collar,03.Apr.15,10249.56
4301,Sierra Rios,Ball,Male,45,Virginia,Other,03.Apr.15,40379.31
7408,Megan David,Bell,Male,26,North Carolina,White Collar,03.Apr.15,4539.24
1170,Lisa Padilla,Ball,Male,37,Vermont,White Collar,04.Apr.15,89120.92
5031,Michael Haney,Gray,Male,41,Texas,White Collar,05.Apr.15,51707.8
9190,Todd Benson,Metcalfe,Male,33,Missouri,White Collar,05.Apr.15,4940.82
8103,Carla Ortega,Ogden,Female,37,Alabama,White Collar,05.Apr.15,48405.93
2563,Mary Smith,Davies,Male,33,Oklahoma,White Collar,05.Apr.15,32467.1
880,Randall Anderson,Lee,Female,29,Ohio,White Collar,05.Apr.15,4020.51
2655,George Glass,Grant,Male,33,Oklahoma,White Collar,05.Apr.15,5160.27
6395,Joseph Murphy,Metcalfe,Male,32,Oklahoma,White Collar,05.Apr.15,51576.88
1563,Johnathan White,Oliver,Female,36,Wisconsin,White Collar,05.Apr.15,57019.91
9766,Nicholas Adams,Powell,Male,46,Louisiana,White Collar,05.Apr.15,57365.32
6258,Stephanie Ferguson,Arnold,Male,33,Montana,Blue Collar,05.Apr.15,1455.6
7882,Brittany Marks,Roberts,Male,24,Mississippi,Other,05.Apr.15,36256.2
7039,Michael Aguirre,Cornish,Male,32,Illinois,White Collar,05.Apr.15,24927.39
2034,Maria Gonzales,Powell,Male,26,Delaware,White Collar,05.Apr.15,1009.69
6369,Gabriel Johnson,Lawrence,Male,30,Wyoming,White Collar,05.Apr.15,21871.43
9397,Michael Williams,Walker,Male,38,South Dakota,White Collar,05.Apr.15,7602.94
4345,Henry Larsen,Powell,Female,42,Vermont,White Collar,05.Apr.15,2337.0
6711,Brandon Martin,Peters,Female,36,New Hampshire,Other,05.Apr.15,61541.83
7199,Tiffany Marshall,Morgan,Female,39,Montana,White Collar,05.Apr.15,4120.66
344,Maxwell Smith,Walsh,Female,59,North Carolina,Other,05.Apr.15,67524.87
3393,Sheila Smith,Harris,Male,52,West Virginia,Blue Collar,05.Apr.15,4371.98
8992,Stacey Dorsey,Mitchell,Male,51,Iowa,Blue Collar,05.Apr.15,10229.63
5002,Mason Davis,Ross,Male,24,Vermont,Blue Collar,05.Apr.15,19064.65
526,Dr. Anita Bishop,Wilson,Female,30,Connecticut,White Collar,05.Apr.15,30846.82
1259,Stephanie Thompson,Mills,Male,39,Wisconsin,Blue Collar,06.Apr.15,71396.66
6321,Michael Henry,Morrison,Female,32,Arkansas,Other,06.Apr.15,3290.79
9885,Becky Mora,Hughes,Male,38,Oregon,White Collar,06.Apr.15,13181.22
5761,Jerry Reeves,Greene,Male,42,Missouri,Blue Collar,06.Apr.15,62923.29
7926,Mary Chen,Thomson,Female,26,Alabama,White Collar,06.Apr.15,93353.93
5576,Tasha Johnson,Glover,Female,31,Arizona,White Collar,06.Apr.15,46078.71
27,Justin Foster,Stewart,Male,31,Nevada,White Collar,06.Apr.15,15986.62
3943,Sharon Smith,Gill,Female,25,Ohio,White Collar,06.Apr.15,27384.85
2988,Albert Daniels,Bailey,Male,35,Alabama,White Collar,06.Apr.15,70349.32
24,Scott Castaneda,Piper,Male,33,Utah,Blue Collar,06.Apr.15,60748.04
277,Dawn Boyd,Metcalfe,Male,24,Vermont,Blue Collar,06.Apr.15,52862.29
4933,Terry Lin,Bower,Male,29,Utah,Blue Collar,06.Apr.15,20516.51
2136,Jimmy James,Watson,Female,32,Alaska,White Collar,07.Apr.15,99806.54
5432,Timothy Villarreal,Ball,Male,36,Connecticut,White Collar,07.Apr.15,21236.23
7037,Marcus Sanders,Piper,Male,31,South Carolina,White Collar,07.Apr.15,115312.87
7564,Shawna Miller,McGrath,Male,33,Utah,Other,07.Apr.15,80564.87
4839,Luis Henderson,Short,Male,40,Illinois,Other,07.Apr.15,21351.4
2745,Taylor Case,Ellison,Female,51,Kentucky,Other,07.Apr.15,58953.83
256,Kevin Griffin,Parr,Female,46,Tennessee,White Collar,08.Apr.15,40685.39
133,Amanda Armstrong,Mathis,Female,29,Ohio,White Collar,08.Apr.15,22659.88
8999,Rachel Hall,Morrison,Female,40,Hawaii,White Collar,08.Apr.15,9431.04
8411,Raven Hawkins,Avery,Female,25,Idaho,Other,08.Apr.15,58714.66
3989,Ricky Jones,Fisher,Male,51,Pennsylvania,Blue Collar,08.Apr.15,1239.6
2386,Christopher Mason,Blake,Male,39,Arizona,White Collar,09.Apr.15,48396.17
4793,Gregory Davis,Wright,Female,44,Vermont,Other,10.Apr.15,12283.3
225,Justin Walsh,McGrath,Male,40,Vermont,White Collar,10.Apr.15,29331.41
4374,David Ramirez,Young,Female,35,Ohio,White Collar,10.Apr.15,16390.11
1354,Hailey Delgado,Slater,Female,32,Michigan,White Collar,10.Apr.15,87203.66
9597,Michael Brown,Ross,Male,38,Ohio,Blue Collar,11.Apr.15,3141.6
4668,Shannon Obrien,North,Male,29,New Mexico,White Collar,11.Apr.15,2299.26
6495,Rachel Knapp,Terry,Female,31,Michigan,Blue Collar,11.Apr.15,44162.06
8314,William Winters,Mackenzie,Female,47,Ohio,White Collar,11.Apr.15,90868.86
1146,Robert Lewis,Dickens,Male,34,South Carolina,Other,12.Apr.15,37985.15
6858,Bradley Hill,Underwood,Female,37,Arkansas,White Collar,12.Apr.15,54630.38
924,Dominique Scott,Arnold,Female,40,Washington,White Collar,12.Apr.15,60648.52
727,Jose Burch,Vance,Female,26,Arizona,White Collar,12.Apr.15,18894.19
7292,Jacob Morgan,Lee,Female,25,Washington,Blue Collar,12.Apr.15,79603.36
1096,Kelly Mendoza,Short,Female,36,Idaho,White Collar,12.Apr.15,109026.81
4943,Stephen Tucker,Berry,Male,41,Washington,White Collar,12.Apr.15,73998.37
6292,Michelle Nash,Lewis,Male,39,Texas,White Collar,12.Apr.15,3734.24
7042,Jose Rogers,Sharp,Male,39,Maine,Blue Collar,12.Apr.15,23322.33
2510,Anthony Li,Rutherford,Male,44,Louisiana,Blue Collar,12.Apr.15,64482.16
4212,Kerry Guzman,Wright,Male,39,Rhode Island,White Collar,13.Apr.15,52505.16
7528,Tonya Frye,North,Male,34,Alaska,White Collar,13.Apr.15,16569.82
2265,Shelby Young,Grant,Female,29,Connecticut,Blue Collar,13.Apr.15,21065.22
9601,David Wade,McDonald,Female,21,New Hampshire,Other,13.Apr.15,13487.9
6599,James Vargas,Murray,Male,39,Montana,Blue Collar,13.Apr.15,34338.84
5494,Bradley Alvarado,Turner,Male,38,Ohio,White Collar,13.Apr.15,48146.54
2473,Lauren Hamilton,Hart,Female,28,Michigan,White Collar,13.Apr.15,27008.87
7639,Lauren Cooley,Grant,Female,29,South Dakota,White Collar,14.Apr.15,29907.72
880,John Lopez,Ince,Male,25,West Virginia,White Collar,14.Apr.15,31660.86
1743,Linda Warner,Simpson,Female,38,South Carolina,Other,14.Apr.15,33509.17
1161,Angela Simmons,Arnold,Female,45,Oklahoma,Blue Collar,14.Apr.15,2575.63
6182,Jeffrey Larson,Morrison,Female,33,Nebraska,White Collar,14.Apr.15,4072.58
6539,Eric Hill,Langdon,Male,32,Indiana,White Collar,14.Apr.15,15375.41
983,Sandra Johnson,Baker,Male,43,Texas,White Collar,14.Apr.15,18103.72
7983,Yvette Harris,White,Male,31,Connecticut,White Collar,14.Apr.15,63230.57
9319,Bruce Sullivan,Fraser,Male,40,Illinois,White Collar,14.Apr.15,9875.43
4489,Natalie Campbell,Gill,Male,29,Alaska,Other,15.Apr.15,106172.13
9427,Michael Williams,Howard,Female,37,Minnesota,White Collar,15.Apr.15,4611.5
7717,Katelyn Hughes,Johnston,Female,36,Tennessee,White Collar,15.Apr.15,42635.27
2306,Ebony Perez,Terry,Male,42,New Hampshire,White Collar,15.Apr.15,51923.76
1223,Laura Cooper,McGrath,Female,45,Indiana,White Collar,15.Apr.15,39249.25
6258,Alex Adams,King,Male,41,Alaska,Blue Collar,15.Apr.15,57762.79
3337,Jessica Cox,Pullman,Male,42,North Carolina,White Collar,16.Apr.15,63869.71
6268,Stephen Liu,Mackay,Male,42,Oregon,White Collar,16.Apr.15,10199.66
9758,Thomas Brennan,James,Female,40,North Carolina,White Collar,16.Apr.15,47518.92
4472,Benjamin Baker,Blake,Female,43,Montana,White Collar,16.Apr.15,25542.15
3091,Jose Dyer,Hudson,Female,43,Maine,White Collar,16.Apr.15,23887.45
128,Cristian Simmons,Miller,Female,27,Minnesota,Other,16.Apr.15,39264.03
3497,Emily Martinez,Welch,Female,35,California,White Collar,17.Apr.15,11880.47
7222,Joshua Clark,Baker,Male,32,Michigan,White Collar,17.Apr.15,50658.95
1995,Julia Phillips,Powell,Male,43,Alabama,White Collar,17.Apr.15,14946.79
3667,Michelle Jones,Rees,Female,34,Florida,Blue Collar,17.Apr.15,57148.41
2790,Lisa Jordan,Davies,Male,47,New Hampshire,Blue Collar,17.Apr.15,116144.95
2266,Nathaniel Avery,Short,Male,39,Tennessee,White Collar,17.Apr.15,45135.16
7916,Shawna Maldonado,Graham,Male,31,Alabama,White Collar,17.Apr.15,9867.56
4512,Francisco Farmer,Paterson,Male,30,Texas,White Collar,17.Apr.15,4442.71
9440,Jeanette Williams,Dickens,Female,33,West Virginia,White Collar,17.Apr.15,14380.27
8942,Tina Gregory,Miller,Male,37,New Mexico,White Collar,17.Apr.15,4263.53
970,Seth Curtis,Bower,Male,43,West Virginia,White Collar,17.Apr.15,32667.33
692,Catherine Watson,Mathis,Female,30,Massachusetts,Blue Collar,17.Apr.15,13407.54
7307,Gregory Hahn,Jones,Female,33,Missouri,White Collar,17.Apr.15,57127.03
5506,Mario Poole,Lyman,Male,30,Kansas,White Collar,17.Apr.15,74588.31
1898,Scott Taylor,Ball,Female,29,Louisiana,White Collar,17.Apr.15,41237.66
867,Amanda Cannon,Rees,Male,34,Maryland,White Collar,17.Apr.15,20276.52
8217,Jill Brown,Henderson,Female,36,Maryland,Blue Collar,17.Apr.15,20379.0
9422,Aaron Rivera,Peake,Male,46,New Jersey,Blue Collar,17.Apr.15,29487.25
1006,Lee Brown,Underwood,Male,36,West Virginia,Blue Collar,17.Apr.15,79483.58
2124,Thomas Cochran,McGrath,Male,54,New Mexico,Other,17.Apr.15,2112.92
5433,Michelle Burgess,Taylor,Female,50,Kentucky,Other,17.Apr.15,18160.49
3313,Jason Goodman,Walsh,Male,45,New Mexico,Blue Collar,17.Apr.15,26059.74
4541,Sally Burton,Howard,Male,47,Texas,Blue Collar,17.Apr.15,19177.31
1100,Jessica Wade,Clarkson,Female,59,Missouri,Other,17.Apr.15,23550.89
8407,Jennifer Hicks,Marshall,Female,41,Alaska,Other,17.Apr.15,87758.52
3490,Laura Smith MD,Davies,Female,48,Montana,Other,17.Apr.15,10577.52
8371,Kyle Hoover,Sanderson,Male,52,Vermont,Blue Collar,17.Apr.15,45213.63
4477,Matthew Odom,Oliver,Female,28,South Carolina,Other,17.Apr.15,13162.58
6500,Nicole Smith,MacLeod,Male,55,Arkansas,Other,17.Apr.15,36993.45
7813,Melissa French,Oliver,Male,28,Massachusetts,Blue Collar,17.Apr.15,67180.28
7028,Donna Rodriguez,Powell,Female,42,Oklahoma,Other,17.Apr.15,44094.63
7771,Shannon Villa,Black,Female,63,Colorado,Other,17.Apr.15,27020.99
3169,Ryan Alexander,Abraham,Male,30,Wisconsin,White Collar,17.Apr.15,28912.8
2863,Mary Strickland,Blake,Female,25,Utah,White Collar,17.Apr.15,48997.63
6349,Christine Rogers,Skinner,Male,41,Indiana,White Collar,18.Apr.15,41250.67
3209,Richard Elliott,Russell,Female,34,Montana,Other,18.Apr.15,111818.28
7245,Elizabeth Suarez,Avery,Male,42,Rhode Island,White Collar,19.Apr.15,10114.95
3705,Kevin Maldonado,Miller,Male,30,New Mexico,Blue Collar,19.Apr.15,14034.12
8413,Jessica Gray,Arnold,Female,37,Oregon,White Collar,19.Apr.15,57574.38
1377,Shelby Thompson,Vaughan,Female,30,Arizona,Blue Collar,19.Apr.15,71596.18
332,Jenny Ritter,Alsop,Male,42,New Mexico,White Collar,19.Apr.15,32187.62
3549,Emily Day,Ogden,Female,31,Alabama,Other,19.Apr.15,717.13
1756,Crystal Baker MD,Parsons,Male,37,Wyoming,Blue Collar,19.Apr.15,103875.81
1517,Sharon Mccarthy,Marshall,Female,29,South Dakota,White Collar,20.Apr.15,70403.65
2574,Mark Lane,Smith,Female,34,Michigan,White Collar,20.Apr.15,12559.26
346,Matthew Coffey,Hughes,Female,30,Illinois,White Collar,20.Apr.15,7136.47
2460,Daniel Wilson,Black,Male,34,Tennessee,White Collar,21.Apr.15,51792.13
3159,Amy Smith,Lambert,Female,31,Arizona,Other,21.Apr.15,96203.49
7192,Lisa Day,Lyman,Male,41,Georgia,White Collar,21.Apr.15,64731.46
2217,Alicia Johnson,King,Male,37,Indiana,White Collar,21.Apr.15,37857.0
177,Jordan Warner,Peake,Female,32,Ohio,White Collar,22.Apr.15,51470.09
9765,John Brown,May,Male,40,Washington,White Collar,22.Apr.15,70357.61
2634,Elijah Stanton,Quinn,Female,21,Alaska,White Collar,22.Apr.15,5470.79
1120,Anthony Krause,Glover,Female,40,Louisiana,White Collar,22.Apr.15,25248.37
4304,Rodney Hudson,Bond,Male,45,Ohio,Other,22.Apr.15,65116.98
4985,Robert Zimmerman,Morgan,Male,27,Oregon,Other,22.Apr.15,23668.42
3454,Anna Wright,Thomson,Male,45,New Hampshire,Blue Collar,22.Apr.15,16423.75
4965,Tanya Ortiz,Clarkson,Female,31,California,White Collar,23.Apr.15,50533.23
8799,Tami Vang,Thomson,Female,33,Oklahoma,White Collar,23.Apr.15,152.91
6262,Rachel Turner,James,Female,26,Virginia,White Collar,23.Apr.15,14758.38
9408,Mrs. Alison Carlson,Johnston,Female,40,Illinois,White Collar,23.Apr.15,14730.54
9412,Alexander Morton,Smith,Male,53,South Dakota,Blue Collar,23.Apr.15,64309.53
81,Robert Stone,Robertson,Male,41,Minnesota,Blue Collar,23.Apr.15,99190.79
4706,Whitney Roberson,Wilkins,Male,30,Massachusetts,Blue Collar,23.Apr.15,13597.9
6331,Robert Davis,Russell,Male,42,Hawaii,Blue Collar,24.Apr.15,122903.78
1433,Paul Harrison,Jackson,Female,42,Pennsylvania,White Collar,24.Apr.15,30474.69
4277,Logan Patton,Springer,Male,29,Ohio,White Collar,24.Apr.15,8802.24
5263,Peter Jones,Grant,Male,32,Nebraska,White Collar,24.Apr.15,60487.89
8448,James Williams,Hill,Male,33,Georgia,Blue Collar,24.Apr.15,2457.4
9940,Amy Rogers,Campbell,Male,43,Tennessee,White Collar,24.Apr.15,33311.31
9344,Rachel Thompson,Edmunds,Male,30,Washington,White Collar,24.Apr.15,21296.27
1259,Mark Wheeler,Hodges,Female,33,Idaho,White Collar,24.Apr.15,60876.78
2629,Sara Jones,Avery,Male,30,Washington,Blue Collar,25.Apr.15,26572.16
6909,Michael Baldwin,Hudson,Male,45,Indiana,Blue Collar,25.Apr.15,21150.98
7939,Kim Waters,Piper,Female,40,Nevada,White Collar,26.Apr.15,65947.69
5947,Danielle Sharp,Clarkson,Female,31,Washington,White Collar,26.Apr.15,86849.17
